period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2024,WA,Washington,All Technologies,RES,residential,430.722,61047,megawatts,number of customers
2024,WA,Washington,All Technologies,TOT,all sectors,497.184,64183,megawatts,number of customers
2024,WA,Washington,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,WI,Wisconsin,All Technologies,COM,commercial,100.867,2146,megawatts,number of customers
2024,WI,Wisconsin,All Technologies,IND,industrial,10.077,87,megawatts,number of customers
2024,WI,Wisconsin,All Technologies,RES,residential,138.182,19222,megawatts,number of customers
2024,WI,Wisconsin,All Technologies,TOT,all sectors,249.126,21455,megawatts,number of customers
2024,WI,Wisconsin,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,WV,West Virginia,All Technologies,COM,commercial,10.416,296,megawatts,number of customers
2024,WV,West Virginia,All Technologies,IND,industrial,1.788,11,megawatts,number of customers
2024,WV,West Virginia,All Technologies,RES,residential,32.637,3648,megawatts,number of customers
2024,WV,West Virginia,All Technologies,TOT,all sectors,44.841,3955,megawatts,number of customers
2024,WV,West Virginia,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,WY,Wyoming,All Technologies,COM,commercial,2.398,174,megawatts,number of customers
2024,WY,Wyoming,All Technologies,IND,industrial,.388,22,megawatts,number of customers
2024,WY,Wyoming,All Technologies,RES,residential,19.095,3119,megawatts,number of customers
2024,WY,Wyoming,All Technologies,TOT,all sectors,21.881,3315,megawatts,number of customers
2024,WY,Wyoming,All Technologies,TRN,transportation,0,0,megawatts,number of customers
